county_name,country_code,black_male_voted,black_male_perc,black_female_voted,black_female_perc,black_un_voted,black_un_perc,white_male_voted,white_male_perc,white_female_voted,white_female_perc,white_un_voted,white_un_perc,asia_male_voted,asia_male_perc,asia_female_voted,asia_female_perc,asia_un_voted,asia_un_perc,hisp_male_voted,hisp_un_perc,hisp_female_voted,hisp_famel_perc,hisp_unknown_voted,hisp_un_perc,natm_male_voted,natm_male_perc,natm_female_voted,natm_female_perc,natm_un_voted,natm_un_perc,other_male_voted,other_male_perc,other_female_voted,other_female_perc,other_un_voted,other_un_perc,unknown_male_voted,unknown_male_perc,unknown_female_voted,unknown_female_perc,unknown_un_voted,unknown_un_perc,total_voted,total_perc
MCDUFFIE,097,1027,47.81,1988,62.09,0,0,2526,66.77,2865,65.98,1,50,4,21.05,8,33.33,0,0,12,37.5,21,35,0,0,0,0,5,62.5,0,0,6,42.86,9,34.62,0,0,129,25.65,152,35.35,1,20,8754,59.95
MCINTOSH,098,635,50.44,1004,65.79,0,0,1740,59.37,1797,57.86,2,100,2,11.76,6,40,0,0,7,26.92,13,29.55,0,0,1,50,1,33.33,0,0,6,30,12,33.33,0,0,95,33.33,97,43.89,0,0,5418,57.07
MERIWETHER,099,1088,48.70,1895,62.6,0,0,2510,64.79,2725,63.33,3,50,7,46.67,6,42.86,0,0,9,34.62,20,48.78,0,0,1,25,4,44.44,1,100,13,52,26,65,0,0,176,32.65,197,42.73,0,0,8681,59.37
MILLER,100,130,29.82,301,48.39,0,0,886,64.53,958,62.94,0,0,0,0,1,33.33,0,0,0,0,2,13.33,0,0,0,0,2,66.67,0,0,1,20,2,100,0,0,17,30.91,20,37.04,0,0,2320,56.56
MITCHELL,101,989,42.56,1933,57.38,1,25,2001,65.76,2237,64.41,4,80,7,38.89,8,33.33,0,0,22,34.92,17,29.31,0,0,1,50,3,37.5,0,0,5,22.73,6,37.5,0,0,91,19.83,135,32.61,0,0,7460,56.06
MONROE,102,930,55.19,1529,68.81,4,44.44,4664,69.76,5052,69.79,5,62.5,19,43.18,23,38.98,0,0,24,36.36,22,42.31,0,0,5,45.45,6,66.67,0,0,33,53.23,27,45,0,0,323,44.99,313,51.74,9,45,12988,66.42
MONTGOMERY,103,271,51.62,430,63.8,1,100,1269,69.69,1439,71.06,1,50,0,0,2,25,0,0,14,38.89,15,31.91,0,0,3,100,0,0,0,0,3,50,3,27.27,0,0,35,21.6,45,33.58,0,0,3531,64.67
MORGAN,104,615,54.23,1124,72.56,2,100,3570,74.25,3907,73.94,2,40,6,25,18,52.94,0,0,22,40,33,50,0,0,1,25,2,50,0,0,8,40,14,56,0,0,133,42.22,121,45.83,0,0,9578,70.45
MURRAY,105,14,23.73,17,36.96,0,0,4893,58.51,5136,55.16,5,55.56,5,27.78,7,35,0,0,154,33.48,226,46.31,0,0,3,42.86,4,50,0,0,20,47.62,20,34.48,0,0,314,32.81,303,35.73,0,0,11121,53.74
MUSCOGEE,106,10577,41.81,18873,53.28,8,16.67,12943,54.22,15373,53.07,20,43.48,298,35.14,440,39.78,2,40,492,30.75,649,34.43,3,60,27,33.33,25,26.88,1,50,273,33.29,404,35.88,3,50,1242,27.64,1586,34.4,15,23.81,63254,48.51
NEWTON,107,6859,51.41,12447,64.37,3,100,9668,62.5,11025,63.05,4,66.67,88,49.44,102,47.44,0,0,216,39.34,306,43.22,0,0,21,47.73,22,50,0,0,110,41.83,176,44.44,0,0,1033,29.3,1134,35.8,3,60,43217,57.82
OCONEE,108,276,56.21,439,68.06,0,0,8501,73.67,9327,73.71,14,70,140,50.72,189,58.88,0,0,123,53.25,140,56.91,2,66.67,2,25,5,45.45,0,0,68,55.28,73,64.6,0,0,700,49.68,737,56.13,9,47.37,20745,70.51
OGLETHORPE,109,305,51.00,495,64.54,0,0,2513,71.07,2751,70.43,4,80,2,18.18,10,62.5,0,0,18,33.96,25,46.3,0,0,5,62.5,5,100,0,0,13,50,16,64,0,0,162,34.76,175,44.99,4,100,6503,65.89
PAULDING,110,4508,52.90,7285,64.95,12,54.55,20611,57.3,22656,57.54,26,55.32,110,38.33,178,42.89,0,0,563,40.65,732,44.04,3,100,26,35.14,30,37.97,0,0,225,47.07,321,51.61,3,100,1936,39.79,2152,44.52,20,45.45,61397,55.86
PEACH,111,1609,47.28,2556,58.93,2,50,2696,65,2900,64.99,4,100,15,36.59,26,53.06,0,0,63,31.19,105,43.75,0,0,7,58.33,4,40,0,0,19,37.25,28,47.46,0,0,157,30.25,198,41.68,2,16.67,10391,57.64
PICKENS,112,34,36.17,55,59.78,0,0,6048,62.54,6552,61.83,0,0,16,42.11,18,37.5,0,0,37,43.02,62,46.27,0,0,5,31.25,9,64.29,0,0,10,31.25,19,43.18,0,0,271,28.5,247,32.04,0,0,13383,59.25
PIERCE,113,171,43.51,250,47.71,0,0,2887,65.26,3170,61.14,1,16.67,3,20,8,36.36,1,100,9,30,15,31.25,0,0,5,71.43,4,80,0,0,12,60,6,27.27,0,0,184,33.7,188,37.01,0,0,6914,58.79
PIKE,114,286,55.00,413,70.36,0,0,3495,68.96,3813,69.81,3,100,4,33.33,14,51.85,0,0,13,48.15,19,55.88,0,0,5,62.5,2,50,0,0,9,40.91,21,53.85,0,0,245,44.71,214,50.35,3,75,8559,66.92
POLK,115,474,48.62,835,57.07,1,33.33,5195,61.97,5616,59.3,2,22.22,7,33.33,17,39.53,0,0,79,31.98,97,40.59,1,100,2,40,1,12.5,0,0,32,50.79,26,42.62,1,100,243,32.88,262,37.43,2,33.33,12893,57.46
PULASKI,116,306,45.88,570,61.36,0,0,1275,69.48,1365,68.52,0,0,5,38.46,3,21.43,0,0,7,30.43,13,59.09,0,0,1,100,2,50,0,0,7,50,6,46.15,0,0,28,26.67,45,42.45,0,0,3633,63.29
PUTNAM,117,626,48.30,1125,62.05,1,100,3418,70.03,3720,70.59,3,50,8,30.77,18,46.15,0,0,28,38.89,38,38.38,0,0,6,66.67,0,0,0,0,10,32.26,5,22.73,0,0,161,40.05,182,47.15,0,0,9349,65.12
QUITMAN,118,154,53.66,235,56.63,0,0,242,62.53,269,63.15,0,0,2,66.67,2,66.67,0,0,2,66.67,2,50,0,0,2,50,0,0,0,0,1,50,0,0,0,0,15,33.33,11,40.74,0,0,937,57.98
RABUN,119,14,45.16,12,35.29,0,0,3411,64.74,3682,63.04,5,41.67,7,33.33,9,40.91,0,0,38,39.18,36,46.15,0,0,3,42.86,3,37.5,0,0,16,55.17,10,47.62,0,0,194,45.12,164,41.62,1,50,7605,61.84
RANDOLPH,120,506,52.44,950,65.25,0,0,624,74.55,659,72.18,0,0,1,25,2,50,0,0,3,50,0,0,0,0,0,0,3,75,0,0,0,0,6,66.67,0,0,17,23.61,36,53.73,0,0,2807,64.59
RICHMOND,121,14020,49.82,24267,60.08,77,19.64,11493,56.7,13147,55.33,30,35.71,201,37.43,302,39.37,2,20,292,34.03,426,37.37,4,33.33,24,34.78,33,37.08,0,0,273,37.92,483,44.48,5,33.33,2256,26.49,2942,36.05,82,15.92,70359,51.91
ROCKDALE,122,7574,54.26,12267,65.54,15,55.56,5843,60.21,6517,60.38,5,50,129,41.35,185,47.07,0,0,230,31.68,358,42.37,1,33.33,15,31.91,15,42.86,0,0,151,37.84,316,53.29,0,0,1368,39.9,1745,47.65,10,37.04,36744,57.7
SCHLEY,123,113,51.60,203,63.64,0,0,755,75.35,808,73.06,2,100,0,0,5,38.46,0,0,5,38.46,8,47.06,0,0,0,0,0,0,0,0,3,60,2,66.67,0,0,10,33.33,23,50,0,0,1937,69.65
SCREVEN,124,663,44.62,1180,60.57,0,0,1626,69.04,1776,68.76,2,66.67,5,41.67,7,41.18,0,0,4,36.36,7,43.75,0,0,0,0,3,50,0,0,9,69.23,7,63.64,0,0,77,21.81,81,26.3,0,0,5447,59.7
SEMINOLE,125,311,41.80,578,54.02,0,0,1073,61.31,1174,60.92,1,100,1,20,1,25,0,0,10,47.62,8,27.59,0,0,0,0,0,0,0,0,3,25,4,36.36,0,0,32,29.36,37,32.74,0,0,3233,55.74
SPALDING,126,2398,42.82,4599,56.72,3,37.5,7478,60.22,8423,60.33,10,71.43,39,38.24,75,50.68,0,0,87,31.52,128,37.98,0,0,8,36.36,6,24,0,0,61,45.52,90,48.65,1,100,488,29.45,572,38.16,9,34.62,24475,54.97
STEPHENS,127,276,38.07,440,48.3,0,0,3807,58.11,4115,56,5,50,18,35.29,23,53.49,0,0,22,39.29,24,36.92,0,0,4,50,4,50,0,0,10,28.57,21,35.59,0,0,151,23.74,172,32.51,0,0,9092,53.35
STEWART,128,359,45.56,612,62.2,1,100,370,62.29,377,66.02,0,0,1,33.33,1,16.67,0,0,4,50,2,22.22,0,0,0,0,0,0,0,0,1,20,2,33.33,1,100,16,33.33,27,52.94,0,0,1774,57.67
SUMTER,129,1577,46.81,2945,58.06,1,20,2624,69.75,3008,69.53,2,100,27,54,19,35.19,0,0,30,34.09,31,26.5,0,0,1,33.33,2,66.67,0,0,20,50,22,44.9,0,0,105,32.01,115,39.66,0,0,10529,59.96
TALBOT,130,609,56.86,982,69.15,0,0,611,67.89,626,66.38,0,0,1,33.33,3,75,0,0,3,33.33,5,45.45,0,0,1,100,3,75,0,0,5,50,8,66.67,0,0,44,40,47,55.95,0,0,2948,64.34
TALIAFERRO,131,251,70.90,278,81.05,0,0,179,75.53,196,77.78,0,0,0,0,1,100,0,0,2,28.57,0,0,0,0,0,0,0,0,0,0,1,33.33,3,75,0,0,14,53.85,11,57.89,1,100,937,75.02
TATTNALL,132,421,44.27,726,56.45,2,40,2403,66.18,2709,63.68,5,71.43,8,61.54,12,52.17,0,0,34,24.11,56,30.94,0,0,2,50,3,50,0,0,10,29.41,15,45.45,0,0,124,19.22,139,24.96,1,14.29,6670,56.63
TAYLOR,133,358,49.24,689,65.06,0,0,1000,72.46,1072,70.07,0,0,2,40,4,50,0,0,4,50,9,45,0,0,1,100,0,0,0,0,1,16.67,1,16.67,0,0,59,33.91,74,51.39,0,0,3274,64.54
TELFAIR,134,382,47.93,656,60.13,1,100,1224,69.11,1277,66.34,0,0,3,30,4,40,0,0,2,12.5,7,58.33,0,0,3,100,1,50,0,0,2,28.57,5,50,0,0,31,21.38,51,42.5,0,0,3649,61.61
TERRELL,135,677,42.08,1322,61.03,2,40,885,73.44,911,71.73,0,0,2,18.18,2,28.57,0,0,6,60,6,35.29,0,0,1,50,2,66.67,0,0,10,52.63,6,40,0,0,50,27.78,68,36.96,2,100,3952,58.94
THOMAS,136,1650,43.22,3338,58.59,1,12.5,5278,63.88,6009,62.06,8,47.06,30,37.97,31,43.06,0,0,21,21,43,31.16,0,0,7,63.64,5,25,0,0,24,37.5,41,46.59,0,0,377,35.7,433,40.54,5,55.56,17301,57.31
TIFT,137,990,36.82,1980,50.55,4,28.57,4668,65.54,5374,65.28,7,46.67,36,37.5,29,30.53,0,0,113,30.71,118,34.2,1,50,1,12.5,2,28.57,0,0,25,42.37,32,43.24,0,0,162,36.32,159,39.45,8,40,13709,57.33
TOOMBS,138,564,39.50,1123,52.82,2,100,3095,66.4,3635,66.94,3,37.5,11,34.38,14,41.18,0,0,32,20.51,57,27.54,1,100,0,0,0,0,0,0,18,34.62,24,36.92,0,0,142,18.71,153,21.64,1,20,8875,56.62
TOWNS,139,6,24.00,10,31.25,0,0,2769,64.92,3063,62.96,4,80,8,53.33,6,35.29,0,0,9,33.33,16,42.11,0,0,1,20,2,50,0,0,7,46.67,6,54.55,0,0,143,56.3,120,50.42,0,0,6170,62.86
TREUTLEN,140,235,45.28,501,64.56,0,0,866,64.87,952,65.66,2,66.67,1,25,1,25,0,0,2,22.22,2,22.22,0,0,1,100,0,0,0,0,1,50,1,20,0,0,21,27.63,36,43.37,1,100,2623,61.29
TROUP,141,2417,43.62,4754,58.22,4,44.44,7194,62.03,8314,61.39,11,61.11,49,33.56,45,30.2,0,0,63,37.5,82,42.27,1,100,3,33.33,5,35.71,1,100,38,29.46,65,39.39,5,100,454,34.84,452,40,12,40,23969,56.64
TURNER,142,376,43.37,700,57.9,1,100,986,66.44,1113,67.78,1,50,1,11.11,1,9.09,0,0,8,29.63,10,33.33,0,0,2,50,0,0,0,0,5,62.5,3,25,0,0,30,29.41,38,49.35,0,0,3275,59.66
TWIGGS,143,671,55.09,955,70.74,0,0,998,65.53,1018,62.57,0,0,3,75,4,40,0,0,5,35.71,7,28,0,0,1,50,0,0,0,0,4,33.33,9,47.37,0,0,65,34.39,69,44.52,0,0,3809,61.87
UNION,144,5,31.25,5,31.25,0,0,5228,68.61,5826,67.27,7,58.33,7,46.67,22,59.46,0,0,23,51.11,37,49.33,0,0,4,44.44,6,75,0,0,18,56.25,13,46.43,0,0,355,57.82,352,58.76,5,100,11913,66.96
UPSON,145,971,54.31,1743,66.58,3,60,3346,66.99,3933,66.21,4,50,10,38.46,9,27.27,0,0,9,24.32,13,41.94,0,0,1,16.67,1,14.29,0,0,18,50,23,60.53,0,0,234,33.48,274,46.68,1,33.33,10593,62.84
WALKER,146,240,42.55,365,48.73,0,0,8799,55.84,9915,53.66,7,36.84,25,47.17,29,44.62,0,0,40,41.24,43,38.05,0,0,7,41.18,11,55,0,0,31,39.74,44,37.61,0,0,996,32.96,1018,35.77,7,63.64,21577,51.37
WALTON,147,1768,46.76,3062,58.55,3,60,13514,65.26,15291,65.55,11,47.83,73,31.47,87,38.5,0,0,154,38.69,210,44.87,0,0,16,44.44,10,38.46,0,0,117,50.21,132,50.77,1,50,2045,40.42,2259,45.19,15,68.18,38768,59.61
WARE,148,812,40.38,1584,49.1,0,0,3844,63.07,4351,60.59,4,40,25,55.56,22,37.29,0,0,29,35.8,33,37.08,0,0,4,26.67,5,62.5,0,0,15,37.5,22,31.88,0,0,165,20.3,146,22.92,4,57.14,11065,54.26
WARREN,149,397,46.00,735,62.71,1,50,504,74.45,563,77.02,0,0,3,75,2,40,0,0,2,40,2,40,0,0,2,66.67,1,50,0,0,2,20,4,44.44,0,0,30,25.21,24,32.88,0,0,2272,61.74
WASHINGTON,150,1285,52.95,2442,65.91,0,0,2021,74.88,2242,72.11,1,100,3,18.75,2,25,0,0,6,37.5,13,56.52,0,0,1,33.33,1,33.33,0,0,10,66.67,6,31.58,0,0,73,24.75,94,38.52,1,100,8201,65.16
WAYNE,151,487,45.56,857,52.03,0,0,3839,65.55,4341,63.52,2,33.33,14,42.42,11,29.73,0,0,27,31.76,26,21.14,0,0,3,37.5,1,25,0,0,15,36.59,14,30.43,0,0,244,30.89,259,35.14,1,100,10141,58.55
WEBSTER,152,158,54.11,252,66.49,0,0,319,79.55,343,79.58,0,0,0,0,0,0,0,0,2,66.67,2,66.67,1,100,1,100,0,0,0,0,3,50,1,33.33,0,0,6,40,10,45.45,0,0,1098,70.47
WHEELER,153,201,55.83,285,65.37,0,0,697,69.15,704,64.47,1,100,0,0,0,0,0,0,6,66.67,3,25,0,0,0,0,0,0,0,0,3,75,0,0,0,0,18,30,18,31.58,0,0,1936,63.5
WHITE,154,42,35.29,60,59.41,0,0,5142,62.19,5619,61.89,3,60,12,37.5,16,47.06,0,0,27,37.5,34,40.96,0,0,3,30,8,50,0,0,18,56.25,12,42.86,0,0,241,32.92,237,34.4,1,50,11475,59.45
WHITFIELD,155,399,44.19,624,57.62,0,0,9992,61.03,11297,60.02,14,48.28,76,41.08,90,39.82,0,0,1202,37.89,1538,47.13,5,55.56,8,30.77,15,46.88,0,0,81,45.25,93,43.46,1,100,975,34.61,1013,38.41,6,40,27429,54.87
WILCOX,156,236,43.70,446,59.07,0,0,995,68.76,1090,68.25,1,100,1,16.67,2,33.33,0,0,3,15.79,7,30.43,0,0,0,0,0,0,0,0,2,40,3,42.86,0,0,22,38.6,14,32.56,0,0,2822,62.54
WILKES,157,536,52.29,977,64.15,1,50,1311,72.43,1399,72.52,0,0,4,50,3,30,0,0,4,40,7,38.89,0,0,0,0,3,100,0,0,9,69.23,6,33.33,0,0,63,31.19,53,35.81,0,0,4376,65.07
WILKINSON,158,643,58.94,1065,73,1,50,1183,71.61,1286,71.72,0,0,1,25,2,28.57,0,0,2,66.67,1,11.11,0,0,0,0,0,0,0,0,5,41.67,5,55.56,0,0,45,33.58,35,35.71,0,0,4274,68.12
WORTH,159,590,41.23,1077,55.4,0,0,2885,64.98,3064,63.42,2,40,3,33.33,10,52.63,0,0,10,34.48,19,45.24,0,0,3,75,2,66.67,0,0,19,55.88,13,35.14,0,0,83,21.23,87,29.9,3,75,7870,58.23
