county_name,country_code,black_male_voted,black_male_perc,black_female_voted,black_female_perc,black_un_voted,black_un_perc,white_male_voted,white_male_perc,white_female_voted,white_female_perc,white_un_voted,white_un_perc,asia_male_voted,asia_male_perc,asia_female_voted,asia_female_perc,asia_un_voted,asia_un_perc,hisp_male_voted,hisp_un_perc,hisp_female_voted,hisp_famel_perc,hisp_unknown_voted,hisp_un_perc,natm_male_voted,natm_male_perc,natm_female_voted,natm_female_perc,natm_un_voted,natm_un_perc,other_male_voted,other_male_perc,other_female_voted,other_female_perc,other_un_voted,other_un_perc,unknown_male_voted,unknown_male_perc,unknown_female_voted,unknown_female_perc,unknown_un_voted,unknown_un_perc,total_voted,total_perc
CATOOSA,023,172,44.10,239,54.32,0,0,9660,58.04,11108,56.33,18,42.86,32,26.89,48,35.82,0,0,59,38.56,90,42.06,0,0,8,36.36,11,47.83,0,0,42,34.71,41,36.28,0,0,1148,36.35,1154,37.47,9,42.86,23839,53.7
CHARLTON,024,217,39.17,400,53.12,0,0,1149,55.83,1279,54.1,1,25,11,55,4,30.77,0,0,5,41.67,1,8.33,0,0,2,40,1,25,0,0,5,41.67,10,34.48,0,0,158,31.29,150,36.5,0,0,3393,50.21
CHATHAM,025,13630,41.24,24145,56.58,15,24.59,26122,54.65,30561,56.86,50,51.02,439,33.41,552,36.73,2,33.33,637,29.7,903,35.05,2,25,49,23.67,65,37.36,1,100,420,34.68,609,41.23,1,12.5,2519,29.73,3063,36.9,52,27.81,103837,50.64
CHATTAHOOCHEE,026,135,30.27,211,38.57,0,0,299,28.89,338,29.89,0,0,4,12.12,2,5.13,0,0,7,6.93,10,9.26,0,0,0,0,1,20,0,0,5,14.29,6,18.18,0,0,32,10.32,25,11.16,1,100,1076,26.57
CHATTOOGA,027,208,48.71,313,57.54,0,0,3127,61.74,3355,56.14,0,0,5,27.78,11,45.83,0,0,19,29.69,16,31.37,0,0,4,50,2,28.57,0,0,10,33.33,11,21.15,0,0,189,28.99,198,32.3,0,0,7468,55.18
CHEROKEE,028,2337,53.59,3495,62.92,6,60,41783,63.21,46155,63.15,37,50,404,45.7,564,50,2,100,1158,43.23,1623,49.77,5,55.56,47,47.96,49,46.67,0,0,485,53.89,542,53.98,3,75,3862,40.8,4018,44.83,46,63.01,106621,59.98
CLARKE,029,3371,41.59,6475,55,3,21.43,12577,60.13,14750,62.28,50,63.29,318,45.43,478,55.13,4,66.67,498,45.56,696,52.25,4,36.36,18,50,21,60,0,0,228,53.15,313,53.97,1,50,1675,33.34,2037,42.14,35,39.77,43552,54.71
CLAY,030,212,50.36,385,59.14,0,0,267,73.15,291,69.78,0,0,1,33.33,2,66.67,0,0,1,100,1,100,0,0,0,0,0,0,0,0,1,50,1,50,0,0,8,20,16,48.48,0,0,1186,61.13
CLAYTON,031,25177,43.59,44271,57.44,54,35.53,4880,52.03,5791,52.33,5,33.33,779,31.72,726,31.25,9,33.33,990,32.36,1513,42.48,8,42.11,43,31.16,43,29.05,0,0,513,35.5,881,46.52,1,7.69,2621,28.26,4022,40.96,56,21.62,92383,48.66
CLINCH,032,171,34.90,297,45.83,0,0,819,64.54,881,61.27,1,100,1,33.33,7,116.67,0,0,1,10,4,26.67,0,0,1,100,0,0,0,0,1,33.33,2,25,0,0,40,30.77,37,33.94,1,50,2264,54.78
